날짜,리뷰
2022.04.02,"아주 쭈아요
가볍고 많이 들어감
진짜 많이 들어감
넣어도 넣어도 계속 들어감
근데 학교에서 똑같은 가방 맨 사람 500명 만날 수 있음"
2022.04.01,"생각보다 작았습니다.
그거 말고는 디자인도 귀엽고 자주 들고 다닙니다"
2022.03.28,수납공간도 넉넉하고 디자인도 생각보다 이쁩니다
2022.03.25,생각보다 작아서 아쉽긴하지만 쓰는데 문제는없음
2022.03.24,가방은 사진보고 선택해서 괜찮았고 바닥이 가죽이여서 너무 좋네요
2022.03.23,"완전 이뻐요~~!크기도 적당하고 가볍고 이쁘네요
잘쓰겠습니다."
2022.03.23,생각했던 딱 원하던 제품이여서 너무 마음에 들어요
2022.03.22,칼하트 로고 이뻐요! 가방도 튼튼한것 같아요! 좋아용
2022.03.21,엄청 많이 알아보고 고민하다가 산 백팩인데 데일리하게 들고 다니기 좋은 듯 해요
2022.03.21,너무 이쁘고 편하고 다 맘에 들어용 다른 색상도 구매 해야겠어용
2022.03.19,생각보다 사이즈가 딱 맞아서 좋았어요 넘 이뻐서 잘 매고 이쎠요
2022.03.19,수납공간 많습니다 여러개로 나눠져있고 젛아요
2022.03.17,"대학교 가방
노트북 교양책 등등 잡다한거 다 넣어자님
수납공간 없어보이지만 은근있음
세세하게 나눠서 넣을수있음
제일큰 자크안에도 수납공간 또 있어서
나눠서 넣을수있음"
2022.03.17,수납공간 적당하고 가방 크기도 적당해요 ! 할인 안 하면 좀 부담되요
2022.03.17,수납공간 적당해서 좋아요 약간 크긴한데 그만큼 많이 넣을 수 있어요
2022.03.17,학교에서 매려고 샀는데 크기도 넉넉하고 사이즈도 적당해서 잘 들고 다니는 중이에요
2022.03.16,칼하트 가방은 처음인데 좋아요 예쁘고 가성비 굿
2022.03.16,수납공간도 마음에 들고 매었을 때 무게감도 적어서 정말 좋은 제품인 것 같네요
2022.03.16,"예쁘고 수납공간도 적당히 넓고 좋은것 같아요
괜찮습니다"
2022.03.15,"디자인이나 색감이나 딱 생각했던만큼이에여 평타친다는뜻 ㅎ
단점은 가방무게가 생각보다 있어요"
2022.03.15,그냥 너무 만족해요 사이즈나 수납공간 디자인 다만족합니다
