날짜,리뷰
2021.10.20,수납공간도 많고 들고다니기 딱 좋은 가방입니다!
2021.10.17,"살까 말까 고민했는데 너무 잘 산것 같아요~~
너무 만족합니다!"
2021.10.04,백팩이 필요해서 이것저것 보다가 칼하트가 제일 예쁘고 무난해서 시켰습니다 아주 맘에 들어요
2021.09.29,작을줄알고 걱정했는데 생각보다 공간이 넉넉해서 다행이예요
2021.09.26,넘오 좋아요 동생 선물해줬는데 너무좋아해여르나에
2021.06.11,완전 편하고 어떤 룩 도 다 잘어울려요 역시 칼하트
2021.05.25,가방 크기도 수납도 디자인도 마음에 들어요 잘 산 것 같아요??
2021.05.20,가방 모양이 잘 잡히면 이뻐요! 무난하게 들고 다니기 좋아요
2021.05.19,할인하깅래 샀는데 조아요 튼튼하고 수납공간도ㅠ넉넉함니다
2021.05.12,생각보다 작네요. 그래도 엄청 작지는 않아서 많이 메고 다닐 것 같긴해요.
2021.05.07,"너무 예쁘게 잘쓰고 있어요!
대만족ㅎㅎ 디자인도 평생 그냥가능"
2021.05.04,지퍼 손잡이가 작지 않아서 좋고 옆에 메쉬 주머니가 생각보다 커서 마음에 들어요!
2021.05.03,너무 예쁘고.. 수납공간 넉넉하고.. 막 너무 크지 않아서 좋으네요.. 진심 칼하트 가방이 갑인 듯 넘 조아요ㅠㅠ진심 거북이 등딱지같지 않고 적당한 크기에 예쁩니다
2021.04.29,"노트북 넣을 정도의 가방이 필요했는데
잘 착용하고 있습니다"
2021.04.20,믿고 사는 칼하트 가방 노트북 공간도 충분하고 쿠션도 있어서 좋아요
2021.04.15,엄청 가볍고 방수되는 재질이라서 좋아요. 생각보다 수납공간이 적긴 한데 가방 맸을 때 거북이처럼 안 돼서 좋아요.
2021.04.09,"우리아들도 대만족입니다
역시 품질 서비스 모두 좋ㅇ네요"
2021.03.22,"입학하고 무난하게 들고나닐 가방이 필요했는데
수납공간도 적당하고 16인치 노트북 넣을공간도있고
바닥은 방수라 젖을일없어서 좋습니다"
2021.03.20,"사촌동생 선물로 사줬어요
만족해하고 잘 착용하고 있습니다"
2021.03.04,"일단 선물용 으로 구매했는데
선물 받는 중학생이 너무 좋아했네요."
2021.02.25,실물이 더 이쁘구 튼튼합니다 좋아용 동생 선물로 줫습니더
2021.02.25,가방실패경험이 너무나도 많아서 제기준에서 조금 과금을 썻는데기대했던만큼 괜찮네요!
2021.02.18,오래된 가방을 보내줄때가 되서 새로 샀는데 너무 맘이 드네요.
