날짜,리뷰
2021.05.15,가방 사이즈 딱 적당해서 어디 놀러갈 때나 학원 갈 때 책이랑 필통 같은 거 넣고 다니기에 좋아요 탄탄하고 학교 갈 때 들고다녀도 괜찮을 듯 굿
2021.05.07,데일리로 학교갈때 가볍게 메고다니기 좋습니다 다만 양쪽 어깨 다 메면 약간 유치원 가는 어린이처럼 보이긴한데 하튼 좋습니다
2021.05.03,처음에는 지퍼라던지 조금 딱딱해서 여닫기 불편했는데 쓰다보니까 익숙해지고 디자인도 이뻐서 좋아요
2021.05.01,"수납 공간 적긴한데 작고 예뻐요!
대학생 가방으로 딱!"
2021.04.30,딱 찾던 적당한 가방이라 좋아요 만족해요 이뻐요 가방
2021.04.28,샀을 때 조금 꺼끌거리지만 한달 정도 쓰니까 괜찮네요
2021.04.28,뒤에서 보면 딱 예쁜 사이즈는 아니에요. 근데 칼하트는 칼하트대로 예쁜거 아시죠 ?? 로고도 맘에 드는 위치고 만족합니다 !!
2021.04.23,사이즈 적당히 넉넉하니 이뻐요. 키 너무 크시거나 덩치 큰 분 빼고는 다 어울릴 듯!
2021.04.17,칼하트 트레이드 시리즈 백팩 블랙. 원단 탄탄하고 예뻐요
2021.04.16,저렴한 가격인데 수량이 하나 남았길래 급하게 구매했습니다 배송은 주문 다음날 받았고 소재가 힘이 있어서 길들이는데 조금 시간이 필요할 것 같습니다 크기도 적당하고 만족합니다
2021.04.15,좋은가격에 좋은상품 잘 받았습니다 딱 깔끔한게 내스탈
2021.04.12,은근 공간도 크고 착용하는 느낌이 좋아요 이뻐서 샀습니다.
2021.04.10,아이가골라서주문하고 스스로 만족하며 잘들고다닙니다.
2021.04.06,가볍게 예쁘게 들고다닐 수 있는 심플한 가방인 것 같아요 너무 만족합니다
2021.04.05,"가방 내구성이 생각보다 튼튼해요!
옆에 물통 자리?가 없어서 살짝 실망했었지만
없어서 더 예쁜거 같아요!! 잘쓰고있습니다!"
2021.04.03,베이직하고 좋네요!! 근데 가방안에 조금 더 수납성이있었으면 좋았을거같아요ㅠㅠ
2021.03.31,그냥 딱 막 메고 다니기 좋아요 생각보다 수납공간도 넓고 근데 지퍼가 좀 불편하긴 해요
