날짜,리뷰
2022.01.21,나름 수납공간도 여유있고 아무옷에나 잘 어울려서 좋아요!
2022.01.19,"내부에 수납공간이 좁은편이네요 공간분리없고
옆 너비가좁아서 어쩔수없지만 색깔도 밝고
그레이백이 필요해서 눈여겨보고있던차에 품절뜨고ㅜ
아쉬워서 풀리자마자구매했어여
근데 스트레치엔젤스다른백도 갖고있는데 끈고리가 되게 잘끊어지거든요 두개샀는데 일년만에 둘다끊어져서 수리하는데가서 본드로붙였고 ㅜ그래서 안돌아감ㅜ 얘는 가방자체가 가벼워서 그걱정은덜한데..혹시나 똑같이 끊어질까봐 걱정되긴하네여 돌아가서 끈꼬이는걸 쉽게풀수있는건좋지만..ㅜ 쓰다보면헐거워져서 고려좀해주세여
여튼 가방자체는사진이랑 똑같고 이쁨"
2022.01.16,친구 선물로 사준건데 친구가 정말 맘에들어해요 ! 저도 하나 구매할까봐요 ㅎㅎ
2022.01.13,허니제이선생님 따라서 샀어요 편하게 여기저기 들기 좋음
2022.01.07,별기대안햇는ㄷ데 되게 예쁘더라구요 휘뚜루마뚜루 잘 들것같아요
2022.01.05,가방 크기가 조금 작기는 하지만 여기 저기 잘 매치할 수 있을 것 같아요
2021.12.31,좋아요 편하게 메고 다니기도 좋고 생각보다 가벼워요.
2021.12.29,"친구선물로 샀어요.
마음에 들어하니 뿌듯합니다.^^
스타일후기두올릴게용"
2021.12.29,예쁘고 검은색이라 어디든지 매치가능하고 퍼도 탈부착되어서 좋아요 ~!
2021.12.29,진짜 크림색 대존예니까 크림색 사세여 완전 귀여움
2021.12.25,다른 색상도 구매하고 싶을 정도로 맘에들고 애용할듯
2021.12.25,여자친구 선물로 사줬어요 사이즈가 생각보단 좀 작지만 좋아하네용ㅎㅎ
2021.12.24,"허제퇴근백 예뻐서 주문한지 이틀만에 겟 했습니다 가방이 정말 아담하고 예뻐요 근데 서비스로 주신 퍼 손잡이는.. 집에서 직장까지 10분 메고 벗었는데 똑딱이가 이미 가방에서 똑 떨어져 있더라고요.. 순간접착제로 붙일거예요.. 깔끔하게 떨어진거 보니까 추워서 그런것 같은데 오늘이 좀 춥긴했어요,, 메리크리스마스이브..."
2021.12.24,가볍게 데일리로 착용하기에 편한 스타일이에요.
2021.12.24,기대했는데 너무 예뻐요! 색도 약간 아이보리라서 부담없이 들 수 있을 거 같아요
2021.12.23,굉장히 짱짱하고 보부상임에도 불구하고 크기가 적당해서 짐이 다 들어가네요 ㅎㅎ 다른색상도 구매하고싶습니다
2021.12.22,"줄을 길게도 짧게도 할 수 있어서 편합니다

검은색이라 때도 안탈것같아요"
2021.12.22,너무 귀여워서 동생이 좋아하고 잘 들고 다닐것 같다고 하는데 생각보다 조금 작아서 당황했어요
2021.12.22,진짜 너무너무 구매하고 싶었는데 이번에 손잡이 부분에 털 준다고 해서 샀어요 너무 예쁘네요 진작 살걸
2021.12.22,허니제이 착용한거 보고 구매했는데 데일리로 들고다니기 좋은거 같아요
2021.12.21,호보백이 아무래도 유행탈거같아서 고가 제품을 구매하기엔 걱정되었는데 제가 지불할수있는 가격대라서 구매했습니다! 소재가 반질반질해서 너무 저렴해보일까 걱정했는데 만족스럽네요
2021.12.17,너무 예뻐요ㅠㅠ 어떤 옷이든 무난하게 다 소화할 것 같고 리사이클이란 점이 마음에 들어요!
2021.12.17,선물했는데 좋아합니다. 휘뚜루마뚜루 탬이에요
2021.12.15,가벼워서 편하고 크기에 비해서 수납공간도 좀 있는 편이라 좋습니다.
2021.12.15,나일론 소재라 가볍고 튼튼해서 오래 사용 가능할 것 같아요.
2021.12.14,작은 가방이 필요했는데 너무 잘 쓰고 있습니다 손잡이 부분도 편하고 슥슥 들고 다니기 좋아요
2021.12.08,귀여워서 좋은것같아요 작아도 들어갈껀 다들어가네요
2021.12.07,생각보가 많이 작아요 장지갑 넣으면 공간잌ㅋ없음 그래도 이쁘니까 이뻐용
2021.11.26,선물용으로 샀는데 실물이 엄청 예쁘고 어디든 잘 어울릴거같아요~
2021.11.23,"생각보다 작은 느낌이 있지만 간단하게 들고다니기에 딱 좋아요!
스트릿패션 좋아하시면 추천드려요!"
2021.11.23,"진짜 너무 예쁘고 요새 이것만 메고 다녀요 ,, 캐주얼이나 정장에 휘뚤마뚤 메도 이쁘고 ㅠㅠ 크로스 끈 진짜 길어서 넘 조아요 사랑해요 ??"
2021.11.22,나일론 소재라 가볍고 더블 스트렙인 부분도 너무 마음에 드네요 :)
2021.11.21,"호보백 필요했는데 크기도 딱임
검정살까하다가 베이지가 은근 코디하기 좋대서
친구추천받아서 샀으여 결과는 만족"
2021.11.18,배송도 정말 빨랐고 사이즈도 딱 정해서 만족합니다
